ID,Judge,State,Born/Died,Active service,Chief Justice,Retirement,Appointed by,Reason for
99,"Lewis F. Powell, Jr.",VA,1907-1998,1972-1987,NA,1987-1998,Nixon,Retirement[n 6]
100,William Rehnquist ,AZ,1924-2005,1972-2005,1986-2005,NA,NixonÊ(associate),Death
101,John Paul Stevens,IL,1920-,1975-2010,2005Ê(acting)[n 12],2010-present,Ford,Retirement
102,Sandra Day O'Connor,AZ,1930-,1981-2006,NA,2006-present,Reagan,Retirement
103,Antonin Scalia,VA,1936-2016,1986-2016,NA,NA,Reagan,Death
104,Anthony Kennedy,CA,1936-,1988-present,NA,NA,Reagan,Currently serving
105,David Souter,NH,1939-,1990-2009,NA,2009-present,"Bush, G. H. W.",Retirement
106,Clarence Thomas,GA,1948-,1991-present,NA,NA,"Bush, G. H. W.",Currently serving
107,Ruth Bader Ginsburg,NY,1933-,1993-present,NA,NA,Clinton,Currently serving
108,Stephen Breyer,MA,1938-,1994-present,NA,NA,Clinton,Currently serving
109,John G. Roberts  ,MD,1955-,2005-present,2005-present,NA,"Bush, G. W.",Currently serving
110,Samuel Alito,NJ,1950-,2006-present,NA,NA,"Bush, G. W.",Currently serving
111,Sonia Sotomayor,NY,1954-,2009-present,NA,NA,Obama,Currently serving
112,Elena Kagan,MA,1960-,2010-present,NA,NA,Obama,Currently serving
